optimizer      step     rankme         pr    alpha_req             lr
SGD           25600    14.8831     4.6016     1.282687   2.935308e-04
SGD           26000    12.6202     4.3598     1.400886   2.892108e-04
SGD           26400    10.8101     3.8909     1.447162   2.848908e-04
SGD           26800     9.3892     3.7527     1.604186   2.805708e-04
SGD           27200     8.4863     3.6351     1.719735   2.762508e-04
SGD           27600     7.9904     3.6632     1.911477   2.719308e-04
SGD           28000     7.0718     3.4627     1.946962   2.676108e-04
SGD           28400     7.2653     3.6211     1.999564   2.632908e-04
SGD           28800     6.7288     3.3513     2.056937   2.589708e-04
SGD           29200     6.3353     3.3065     2.186329   2.546508e-04
SGD           29600     6.4016     3.4359     2.070379   2.503308e-04
SGD           30000     5.9736     3.3231     2.188316   2.460108e-04
SGD           30400     5.9600     3.3169     2.110262   2.416908e-04
SGD           30800     5.8975     3.2522     2.119175   2.373708e-04
SGD           31200     6.1579     3.4436     2.165570   2.330508e-04
SGD           31600     5.8754     3.2992     2.148749   2.287308e-04
SGD           32000     6.2146     3.5341     2.161178   2.244108e-04
SGD           32400     6.3064     3.5001     2.233936   2.200908e-04
SGD           32800     6.5609     3.6138     2.230287   2.157708e-04
SGD           33200     6.5624     3.5153     2.226190   2.114508e-04
